timestamp,outsideTemp
2026-08-10T02:27:13.654Z,102
2026-08-10T02:27:13.854Z,102
2026-08-10T02:27:14.050Z,102
2026-08-10T02:27:14.248Z,102
2026-08-10T02:28:12.845Z,102
2026-08-10T02:32:14.377Z,101.3
2026-08-10T02:32:14.602Z,101.3
2026-08-10T02:34:25.597Z,101.3
2026-08-10T02:34:25.817Z,101.3
2026-08-10T02:34:26.023Z,101.3
2026-08-10T02:34:26.223Z,101.3
2026-08-10T02:39:25.447Z,92
2026-08-10T02:39:25.741Z,92
2026-08-10T02:44:25.383Z,92
2026-08-10T02:44:26.340Z,92
2026-08-10T02:49:25.408Z,92.2
2026-08-10T02:49:25.777Z,92.2
2026-08-10T02:53:10.507Z,92.2
2026-08-10T02:53:10.848Z,92.2
2026-08-10T02:53:11.190Z,92.2
2026-08-10T02:53:11.396Z,92.2
2026-08-10T04:12:34.990Z,96.4
2026-08-10T04:12:35.279Z,96.4
2026-08-10T04:17:34.928Z,96.7
2026-08-10T04:17:35.872Z,96.7
2026-08-10T04:22:34.932Z,96.7
2026-08-10T04:22:35.303Z,96.7
2026-08-10T04:22:44.964Z,96.7
2026-08-10T04:22:45.164Z,96.7
2026-08-10T04:22:45.493Z,96.7
2026-08-10T04:22:45.701Z,96.7
2026-08-10T06:23:54.175Z,93.5
2026-08-10T06:23:54.374Z,93.5
2026-08-10T09:41:13.178Z,89.1
2026-08-10T09:41:13.509Z,89.1
2026-08-10T11:50:40.877Z,88.2
2026-08-10T11:50:41.071Z,88.2
2026-08-10T12:58:21.029Z,88.1
2026-08-10T12:58:21.228Z,88.1
2026-08-10T13:34:43.745Z,88.1
2026-08-10T13:34:52.982Z,88.1
2026-08-10T15:08:30.344Z,92.6
2026-08-10T15:08:30.533Z,92.6
2026-08-10T15:40:23.532Z,92.8
2026-08-10T15:40:24.673Z,92.8
2026-08-10T16:05:07.735Z,94.7
2026-08-10T16:05:07.963Z,94.7
2026-08-10T16:10:08.427Z,94.7
2026-08-10T16:10:09.287Z,94.7
2026-08-10T16:15:07.687Z,95.3
2026-08-10T16:15:07.921Z,95.3
2026-08-10T16:20:07.463Z,95.3
2026-08-10T16:20:08.296Z,95.3
2026-08-10T16:25:07.502Z,95.3
2026-08-10T16:25:07.701Z,95.3
2026-08-10T16:30:07.838Z,96.4
2026-08-10T16:30:08.026Z,96.4
2026-08-10T16:33:40.634Z,96.4
2026-08-10T16:33:41.002Z,96.4
2026-08-10T16:33:41.220Z,96.4
2026-08-10T16:33:42.076Z,96.4
2026-08-10T19:46:34.941Z,102.9
2026-08-10T19:46:35.115Z,102.9
2026-08-10T19:47:59.544Z,102.9
2026-08-10T19:47:59.710Z,102.9
2026-08-10T19:47:59.870Z,102.9
2026-08-10T19:48:00.036Z,102.9
2026-08-10T19:53:32.128Z,102.9
2026-08-10T19:53:32.604Z,102.9
2026-08-10T19:58:32.127Z,102.9
2026-08-10T19:58:33.080Z,102.9
2026-08-10T20:03:32.116Z,103.6
2026-08-10T20:03:32.598Z,103.6
2026-08-10T20:08:32.107Z,103.6
2026-08-10T20:08:32.597Z,103.6
2026-08-10T20:13:32.064Z,103.6
2026-08-10T20:13:33.056Z,103.6
2026-08-10T20:18:32.115Z,104.1
2026-08-10T20:18:32.617Z,104.1
2026-08-10T20:21:19.735Z,104.1
2026-08-10T20:21:19.936Z,104.1
2026-08-10T20:21:20.097Z,104.1
2026-08-10T20:21:20.258Z,104.1
2026-08-10T20:21:21.319Z,104.1
2026-08-10T20:21:21.529Z,104.1
2026-08-10T20:21:22.207Z,104.1
2026-08-10T20:21:22.376Z,104.1
2026-08-10T20:21:22.664Z,104.1
2026-08-10T20:21:22.824Z,104.1
2026-08-10T20:21:23.284Z,104.1
2026-08-10T20:21:23.447Z,104.1
2026-08-10T20:21:23.765Z,104.1
2026-08-10T20:21:23.922Z,104.1
2026-08-10T20:21:24.348Z,104.1
2026-08-10T20:21:24.507Z,104.1
2026-08-10T20:21:24.830Z,104.1
2026-08-10T20:21:24.989Z,104.1
2026-08-10T20:21:25.651Z,104.1
2026-08-10T20:21:25.811Z,104.1
2026-08-10T20:21:26.137Z,104.1
2026-08-10T20:21:26.297Z,104.1
2026-08-10T20:21:26.687Z,104.1
2026-08-10T20:21:26.845Z,104.1
2026-08-10T20:21:27.126Z,104.1
2026-08-10T20:21:27.330Z,104.1
2026-08-10T20:21:27.914Z,104.1
2026-08-10T20:21:28.078Z,104.1
2026-08-10T20:21:28.539Z,104.1
2026-08-10T20:21:28.717Z,104.1
2026-08-10T20:21:29.356Z,104.1
2026-08-10T20:21:29.512Z,104.1
2026-08-10T20:21:29.822Z,104.1
2026-08-10T20:21:29.978Z,104.1
2026-08-10T20:21:30.629Z,104.1
2026-08-10T20:21:30.789Z,104.1
2026-08-10T20:21:31.119Z,104.1
2026-08-10T20:21:31.275Z,104.1
2026-08-10T20:21:31.904Z,104.1
2026-08-10T20:21:32.060Z,104.1
2026-08-10T20:21:32.429Z,104.1
2026-08-10T20:21:32.592Z,104.1
2026-08-10T20:21:33.265Z,104.1
2026-08-10T20:21:33.421Z,104.1
2026-08-10T20:21:33.734Z,104.1
2026-08-10T20:21:33.891Z,104.1
2026-08-10T20:21:34.325Z,104.1
2026-08-10T20:21:34.479Z,104.1
2026-08-10T20:21:34.797Z,104.1
2026-08-10T20:21:34.954Z,104.1
2026-08-10T20:21:35.571Z,104.1
2026-08-10T20:21:35.724Z,104.1
2026-08-10T20:21:36.021Z,104.1
2026-08-10T20:21:36.178Z,104.1
2026-08-10T20:21:36.624Z,104.1
2026-08-10T20:21:36.778Z,104.1
2026-08-10T20:21:37.097Z,104.1
2026-08-10T20:21:37.273Z,104.1
2026-08-10T20:21:37.725Z,104.1
2026-08-10T20:21:37.884Z,104.1
2026-08-10T20:21:38.113Z,104.1
2026-08-10T20:21:38.271Z,104.1
2026-08-10T20:21:38.904Z,104.1
2026-08-10T20:21:39.058Z,104.1
2026-08-10T20:21:39.376Z,104.1
2026-08-10T20:21:39.531Z,104.1
2026-08-10T20:21:39.950Z,104.1
2026-08-10T20:21:40.108Z,104.1
2026-08-10T20:21:41.854Z,104.1
2026-08-10T20:21:42.939Z,104.1
2026-08-10T20:21:43.104Z,104.1
2026-08-10T20:21:53.693Z,104.1
2026-08-10T20:21:53.854Z,104.1
2026-08-10T20:26:54.127Z,104.1
2026-08-10T20:31:27.618Z,104.6
2026-08-10T20:31:27.792Z,104.6
2026-08-10T20:31:28.038Z,104.6
2026-08-10T20:31:28.208Z,104.6
2026-08-10T20:32:00.213Z,104.6
2026-08-10T20:32:00.374Z,104.6
2026-08-10T20:32:00.533Z,104.6
2026-08-10T20:32:00.690Z,104.6
2026-08-10T20:37:00.160Z,104.6
2026-08-10T20:37:02.038Z,104.6
2026-08-10T20:42:00.340Z,103.6
2026-08-10T20:42:00.625Z,103.6
2026-08-10T20:47:00.400Z,104.2
2026-08-10T20:47:00.645Z,104.2
2026-08-10T20:47:36.771Z,104.2
2026-08-10T20:48:12.652Z,104.2
2026-08-10T20:48:36.798Z,104.2
2026-08-10T20:48:36.975Z,104.2
2026-08-10T20:48:37.143Z,104.2
2026-08-10T20:48:37.303Z,104.2
2026-08-10T20:54:38.266Z,104.2
2026-08-10T20:54:38.428Z,104.2
2026-08-10T20:56:13.726Z,104.2
2026-08-10T20:56:21.738Z,104.2
2026-08-10T20:59:37.950Z,104.2
2026-08-10T20:59:38.114Z,104.2
2026-08-10T21:01:28.392Z,104.7
2026-08-10T21:01:38.041Z,104.7
2026-08-10T21:02:02.706Z,104.7
2026-08-10T21:02:05.627Z,104.7
2026-08-10T21:04:38.094Z,104.7
2026-08-10T21:04:38.267Z,104.7
2026-08-10T21:09:37.997Z,104.7
2026-08-10T21:09:38.157Z,104.7
2026-08-10T21:13:48.188Z,104.7
2026-08-10T21:13:48.352Z,104.7
2026-08-10T21:13:48.508Z,104.7
2026-08-10T21:13:48.665Z,104.7
2026-08-10T22:52:53.082Z,106.1
2026-08-10T22:52:53.295Z,106.1
2026-08-10T22:58:54.129Z,106.1
2026-08-10T22:58:54.337Z,106.1
2026-08-10T23:07:33.648Z,106
2026-08-10T23:07:33.864Z,106
2026-08-10T23:12:42.337Z,106
2026-08-10T23:12:42.531Z,106
2026-08-10T23:14:04.021Z,106
2026-08-10T23:16:45.107Z,105.7
2026-08-10T23:16:45.358Z,105.7
2026-08-10T23:16:45.541Z,105.7
2026-08-10T23:16:45.729Z,105.7
2026-08-10T23:17:01.049Z,105.7
2026-08-10T23:18:35.943Z,105.7
2026-08-10T23:18:36.258Z,105.7
2026-08-10T23:18:36.634Z,105.7
2026-08-10T23:18:36.816Z,105.7
2026-08-10T23:18:44.061Z,105.7
2026-08-10T23:19:55.318Z,105.7
2026-08-10T23:19:55.568Z,105.7
2026-08-10T23:19:55.769Z,105.7
2026-08-10T23:19:55.969Z,105.7
2026-08-10T23:20:14.008Z,105.7
2026-08-10T23:24:54.988Z,105.7
2026-08-10T23:24:55.190Z,105.7
2026-08-10T23:27:42.993Z,105.7
2026-08-10T23:27:43.188Z,105.7
2026-08-10T23:27:43.392Z,105.7
2026-08-10T23:27:43.578Z,105.7
2026-08-10T23:29:28.906Z,105.7
2026-08-10T23:29:29.111Z,105.7
2026-08-10T23:29:29.311Z,105.7
2026-08-10T23:29:29.498Z,105.7
2026-08-10T23:34:30.186Z,105.2
2026-08-10T23:34:30.379Z,105.2
2026-08-10T23:34:46.208Z,105.2
2026-08-10T23:34:46.413Z,105.2
2026-08-10T23:34:46.609Z,105.2
2026-08-10T23:34:46.797Z,105.2
2026-08-10T23:35:22.372Z,105.2
2026-08-10T23:35:22.585Z,105.2
2026-08-10T23:35:22.778Z,105.2
2026-08-10T23:35:22.968Z,105.2
2026-08-10T23:36:27.931Z,105.2
2026-08-10T23:36:28.131Z,105.2
2026-08-10T23:36:28.332Z,105.2
2026-08-10T23:36:28.531Z,105.2
2026-08-10T23:41:28.129Z,105.2
2026-08-10T23:41:28.324Z,105.2
2026-08-10T23:44:20.808Z,105.2
2026-08-10T23:44:21.040Z,105.2
2026-08-10T23:44:21.253Z,105.2
2026-08-10T23:44:21.584Z,105.2
2026-08-10T23:45:46.917Z,105
2026-08-10T23:45:47.132Z,105
2026-08-10T23:45:47.335Z,105
2026-08-10T23:45:47.535Z,105
2026-08-10T23:46:05.707Z,105
2026-08-10T23:46:06.046Z,105
2026-08-10T23:46:06.233Z,105
2026-08-10T23:46:06.422Z,105
2026-08-10T23:51:17.647Z,105
2026-08-10T23:51:17.948Z,105
2026-08-10T23:51:18.145Z,105
2026-08-10T23:51:18.338Z,105
2026-08-10T23:53:20.608Z,105
2026-08-10T23:53:20.811Z,105
2026-08-10T23:53:21.038Z,105
2026-08-10T23:53:21.227Z,105
2026-08-10T23:58:20.883Z,105
2026-08-10T23:58:21.659Z,105
2026-08-10T23:59:16.505Z,105
2026-08-10T23:59:16.694Z,105
2026-08-10T23:59:17.015Z,105
2026-08-10T23:59:17.200Z,105
2026-08-11T00:12:59.430Z,104.8
2026-08-11T00:12:59.664Z,104.8
2026-08-11T00:28:33.701Z,104.8
2026-08-11T00:28:33.899Z,104.8
2026-08-11T00:37:45.846Z,104.7
2026-08-11T00:37:46.032Z,104.7
2026-08-11T00:48:17.656Z,104.4
2026-08-11T00:48:18.376Z,104.4
2026-08-11T00:57:29.281Z,104.4
2026-08-11T00:57:29.473Z,104.4
2026-08-11T01:11:46.259Z,104.2
2026-08-11T01:11:46.474Z,104.2
2026-08-11T01:36:43.351Z,103.4
2026-08-11T01:36:43.586Z,103.4
2026-08-11T01:46:12.860Z,103.1
2026-08-11T01:46:13.084Z,103.1
2026-08-11T01:48:07.936Z,103.1
2026-08-11T01:48:08.165Z,103.1
2026-08-11T01:48:08.362Z,103.1
2026-08-11T01:48:08.556Z,103.1
2026-08-11T01:53:08.791Z,103.1
2026-08-11T01:53:09.001Z,103.1
2026-08-11T01:58:08.773Z,103.1
